iter	Passed	Remaining
390	42820	44791
391	42927	44679
392	43040	44573
393	43144	44458
394	43251	44345
395	43353	44229
396	43455	44112
397	43567	44005
398	43676	43895
399	43789	43789
400	43898	43679
401	44009	43571
402	44112	43456
403	44223	43347
404	44329	43235
405	44438	43125
406	44548	43016
407	44655	42903
408	44762	42792
409	44886	42696
410	44991	42583
411	45098	42471
412	45202	42356
413	45311	42247
414	45421	42137
415	45531	42028
416	45643	41921
417	45753	41813
418	45863	41704
419	45969	41591
420	46078	41481
421	46179	41364
422	46287	41253
423	46396	41144
424	46506	41034
425	46613	40923
426	46725	40816
427	46834	40706
428	46948	40601
429	47071	40503
430	47187	40399
431	47296	40289
432	47401	40176
433	47509	40065
434	47618	39955
435	47727	39845
436	47838	39737
437	47952	39632
438	48059	39520
439	48162	39405
440	48272	39296
441	48378	39184
442	48482	39070
443	48584	38955
444	48696	38848
445	48805	38738
446	48916	38629
447	49023	38518
448	49129	38406
449	49236	38294
450	49367	38202
451	49475	38091
452	49588	37984
453	49692	37871
454	49801	37761
455	49916	37656
456	50032	37551
457	50141	37441
458	50249	37331
459	50354	37218
460	50465	37110
461	50572	36998
462	50675	36884
463	50783	36774
464	50891	36663
465	51001	36554
466	51112	36446
467	51231	36343
468	51339	36233
469	51448	36123
470	51565	36019
471	51673	35909
472	51783	35799
473	51883	35683
474	51993	35574
475	52101	35463
476	52205	35350
477	52308	35237
478	52415	35126
479	52524	35016
480	52621	34898
481	52730	34789
482	52835	34676
483	52943	34566
484	53043	34450
485	53154	34342
486	53259	34230
487	53367	34120
488	53477	34011
489	53585	33900
490	53704	33797
491	53823	33694
492	53939	33588
493	54046	33477
494	54152	33366
495	54261	33257
496	54368	33146
497	54483	33040
498	54590	32929
499	54698	32819
500	54807	32709
501	54915	32599
502	55019	32486
503	55130	32377
504	55230	32263
505	55336	32152
506	55447	32043
507	55559	31935
508	55663	31823
509	55764	31709
510	55865	31595
511	55990	31494
512	56103	31387
513	56213	31278
514	56321	31168
515	56430	31058
516	56542	30950
517	56653	30842
518	56761	30732
519	56867	30621
520	56972	30509
521	57079	30398
522	57190	30290
523	57303	30182
524	57411	30072
525	57515	29960
526	57610	29843
527	57716	29732
528	57824	29622
529	57937	29515
530	58046	29405
531	58158	29298
532	58270	29189
533	58385	29083
534	58492	28972
535	58602	28863
536	58710	28753
537	58820	28644
538	58928	28534
539	59027	28420
540	59138	28312
541	59248	28203
542	59360	28095
543	59476	27988
544	59583	27878
545	59717	27780
546	59856	27684
547	59964	27574
548	60071	27464
549	60180	27354
550	60296	27248
551	60426	27147
552	60541	27041
553	60650	26931
554	60759	26821
555	60870	26713
556	60970	26599
557	61081	26490
558	61184	26378
559	61296	26270
560	61400	26158
561	61517	26051
562	61621	25940
563	61734	25832
564	61849	25724
565	61957	25614
566	62068	25505
567	62172	25394
568	62288	25287
569	62396	25177
570	62502	25066
571	62622	24961
572	62730	24851
573	62839	24741
574	62956	24635
575	63063	24524
576	63173	24415
577	63280	24305
578	63391	24196
579	63502	24087
580	63609	23976
581	63711	23864
582	63823	23755
583	63933	23646
584	64045	23537
585	64147	23425
586	64254	23315
587	64363	23205
588	64483	23100
589	64592	22990
590	64699	22880
591	64814	22772
592	64939	22668
593	65047	22558
594	65151	22447
595	65257	22336
596	65372	22228
597	65486	22120
598	65597	22011
599	65706	21902
600	65817	21793
601	65923	21682
602	66034	21573
603	66139	21462
604	66246	21352
605	66343	21238
606	66445	21126
607	66543	21013
608	66651	20903
609	66758	20793
610	66871	20685
611	66979	20575
612	67102	20470
613	67213	20361
614	67323	20251
615	67433	20142
616	67543	20033
617	67652	19923
618	67763	19814
619	67875	19705
620	67984	19596
621	68093	19486
622	68201	19376
623	68311	19267
624	68422	19158
625	68532	19048
626	68638	18938
627	68745	18828
628	68852	18718
629	68961	18608
630	69072	18499
631	69179	18389
632	69300	18283
633	69413	18174
634	69526	18066
635	69629	17954
636	69731	17843
637	69843	17734
638	69953	17625
639	70064	17516
640	70170	17405
641	70281	17296
642	70388	17186
643	70496	17076
644	70600	16965
645	70711	16856
646	70820	16747
647	70931	16638
648	71037	16527
649	71136	16416
650	71240	16305
651	71348	16195
652	71465	16088
653	71585	15980
654	71681	15868
655	71784	15757
656	71893	15648
657	71998	15537
658	72115	15429
659	72224	15320
660	72330	15210
661	72439	15100
662	72553	14992
663	72662	14882
664	72774	14773
665	72874	14662
666	72983	14552
667	73094	14443
668	73206	14334
669	73302	14222
670	73403	14111
671	73514	14002
672	73628	13894
673	73749	13787
674	73851	13676
675	73963	13567
676	74069	13457
677	74172	13346
678	74282	13237
679	74391	13127
680	74499	13018
681	74604	12908
682	74710	12798
683	74819	12688
684	74929	12579
685	75030	12468
686	75140	12359
687	75245	12249
688	75352	12139
689	75463	12030
690	75576	11921
691	75684	11812
692	75789	11701
693	75898	11592
694	76023	11485
695	76135	11376
696	76238	11266
697	76350	11157
698	76456	11047
699	76558	10936
700	76673	10828
701	76782	10718
702	76891	10609
703	77002	10500
704	77108	10390
705	77217	10281
706	77320	10170
707	77430	10061
708	77537	9951
709	77650	9843
710	77762	9734
711	77859	9623
712	77971	9514
713	78075	9404
714	78206	9297
715	78315	9187
716	78420	9077
717	78525	8968
718	78639	8859
719	78751	8750
720	78857	8640
721	78964	8530
722	79075	8421
723	79184	8312
724	79298	8203
725	79407	8093
726	79518	7984
727	79622	7874
728	79738	7766
729	79851	7657
730	79953	7546
731	80062	7437
732	80159	7327
733	80270	7217
734	80394	7109
735	80489	6999
736	80597	6889
737	80709	6780
738	80818	6671
739	80920	6561
740	81027	6451
741	81139	6342
742	81248	6233
743	81357	6123
744	81463	6014
745	81576	5905
746	81686	5795
747	81793	5686
748	81897	5576
749	82004	5466
750	82111	5357
751	82222	5248
752	82315	5137
753	82424	5028
754	82530	4919
755	82657	4810
756	82762	4701
757	82873	4591
758	82976	4482
759	83084	4372
760	83190	4263
761	83299	4154
762	83404	4044
763	83513	3935
764	83621	3825
765	83725	3716
766	83833	3606
767	83940	3497
768	84049	3388
769	84155	3278
770	84263	3169
771	84368	3060
772	84478	2950
773	84583	2841
774	84692	2732
775	84822	2623
776	84932	2514
777	85043	2404
778	85148	2295
779	85260	2186
780	85367	2076
781	85477	1967
782	85596	1858
783	85707	1749
784	85823	1639
785	85931	1530
786	86042	1421
787	86148	1311
788	86257	1202
789	86366	1093
790	86471	983
791	86583	874
792	86688	765
793	86804	655
794	86908	546
795	87033	437
796	87144	328
797	87241	218
798	87347	109
799	87454	0
