iter	Logloss
0	0.6631843743
1	0.6359139786
2	0.6127579977
3	0.5908798012
4	0.5747123947
5	0.5596980746
6	0.5465652364
7	0.5331071708
8	0.5213406736
9	0.510993688
10	0.5006851903
11	0.4925868603
12	0.4851159663
13	0.4790824182
14	0.4725839274
15	0.4667032396
16	0.46083122
17	0.4560245909
18	0.4511239003
19	0.4470861903
20	0.4430403347
21	0.4392986656
22	0.4357376167
23	0.432001665
24	0.4289795856
25	0.4254042924
26	0.4213137319
27	0.4179868793
28	0.4141699655
29	0.411037646
30	0.408143659
31	0.4058295293
32	0.4036084438
33	0.4006453275
34	0.3982835802
35	0.3955822564
36	0.3925038347
37	0.3902703485
38	0.3879123876
39	0.3860184594
40	0.3837354709
41	0.3816194838
42	0.3797668132
43	0.3776683862
44	0.3753112884
45	0.3735232574
46	0.3715612569
47	0.3704803705
48	0.369338256
49	0.3676662523
50	0.3662278464
51	0.3646773526
52	0.3633294126
53	0.362322128
54	0.360858655
55	0.3590622767
56	0.3577934809
57	0.3566317862
58	0.3556757253
59	0.3541800823
60	0.3525725955
61	0.3515577071
62	0.3504625504
63	0.3490768622
64	0.3479080971
65	0.3469843758
66	0.3460032183
67	0.3446678786
68	0.3436030229
69	0.342729783
70	0.3415908881
71	0.3408413661
72	0.3396243535
73	0.3380097721
74	0.337120313
75	0.3362281913
76	0.3355440846
77	0.334614425
78	0.3338560418
79	0.3324882502
80	0.331657759
81	0.3310181439
82	0.3302025618
83	0.3292303043
84	0.3285085791
85	0.3279015109
86	0.3270337025
87	0.326320699
88	0.3247737666
89	0.3240599059
90	0.3234362972
91	0.3224294562
92	0.3218397943
93	0.3209513618
94	0.3203782378
95	0.3198138595
96	0.3187951621
97	0.3180896611
98	0.3170292833
99	0.3165042727
100	0.3160011304
101	0.3155449715
102	0.3148062494
103	0.3140280037
104	0.3134181382
105	0.3125364542
106	0.3119327023
107	0.311418735
108	0.3109076964
109	0.3101373916
110	0.3095016637
111	0.3090808959
112	0.3085775762
113	0.3080091733
114	0.3075415957
115	0.3066746626
116	0.3056305312
117	0.3051786243
118	0.3043766188
119	0.3038035114
120	0.3033464873
121	0.3026858415
122	0.302027923
123	0.3014545597
124	0.3010074568
125	0.3004219828
126	0.3000042596
127	0.2996324139
128	0.2990378156
129	0.2984804661
130	0.2980294722
131	0.2971452399
132	0.2967129171
133	0.2961516346
134	0.2957742628
135	0.29526967
